"";"sku";"sociability";"precio";"category";"apariciones";"media_repe";"total_vendido"
"150";"APP0393";2,08333333333333;32,3136764705882;"accessories";272;1,16544117647059;317
"151";"APP0394";2,16666666666667;11,7769696969697;"accessories";66;1,04545454545455;69
"152";"APP0401";0,888888888888889;81,4454330708661;"other";127;1,05511811023622;134
"153";"APP0402";0,384615384615385;83,3324489795918;"accessories";49;1,04081632653061;51
"154";"APP0403";0,36;83,085;"accessories";106;1,0188679245283;108
"155";"APP0404";2,82352941176471;32,6501766784452;"accessories";283;1,04946996466431;297
"156";"APP0405";3;57,8936363636364;"accessories";44;1,11363636363636;49
"157";"APP0405-A";0,333333333333333;49,2044444444444;"accessories";9;1;9
"158";"APP0428";20;23,1966;"accessories";100;1,35;135
"159";"APP0429";0,4;40,4040909090909;"accessories";22;1;22
"160";"APP0430";13;33,2630303030303;"accessories";66;1;66
"161";"APP0430-A";1;25,0790909090909;"accessories";11;1;11
"162";"APP0431";1,66666666666667;32,2732121212121;"accessories";165;1,4;231
"163";"APP0432";5,375;22,4606829268293;"accessories";205;1,39512195121951;286
"164";"APP0458";5,85714285714286;23,4728947368421;"accessories";152;1,11184210526316;169
"165";"APP0468";0,571428571428571;85,06675;"accessories";40;1,025;41
"166";"APP0475";0,714285714285714;32,829375;"accessories";80;1,0125;81
"167";"APP0476";0,636363636363636;32,6665048543689;"accessories";103;1,03883495145631;107
"168";"APP0477";1,28571428571429;53,5918644067797;"accessories";59;1,11864406779661;66
"169";"APP0478";0,617021276595745;54,1613662790698;"accessories";344;1,0843023255814;373
"170";"APP0484";0,75;100,3268;"accessories";25;1,08;27
"171";"APP0492";2,85714285714286;22,3157894736842;"accessories";95;1,12631578947368;107
"172";"APP0498";4;23,7413157894737;"accessories";38;1;38
"173";"APP0523";0,666666666666667;200,278048780488;"accessories";41;1,09756097560976;45
"174";"APP0524";0,266666666666667;288,777727272727;"accessories";88;1,01136363636364;89
"175";"APP0525";0,714285714285714;390,901875;"accessories";48;1;48
"176";"APP0656";3,125;147,654150596878;"extended warranty";5445;1,00771349862259;5487
"177";"APP0657";1,97368421052632;206,023569254186;"extended warranty";3942;1,05631659056317;4164
"178";"APP0658";1;218,400041493776;"extended warranty";482;1,03941908713693;501
"179";"APP0659";5;79,8055178907721;"extended warranty";531;2,04519774011299;1086
"180";"APP0660";0,846153846153846;287,764032258065;"extended warranty";1364;1,02639296187683;1400
"181";"APP0661";1,5;24,4039130434783;"extended warranty";46;1,30434782608696;60
"182";"APP0691";1,63829787234043;7,89370558375635;"accessories";394;1,13705583756345;448
"183";"APP0692";1,42857142857143;10,1178914919852;"accessories";1622;1,44759556103576;2348
"184";"APP0693";0,219512195121951;68,1197637795276;"accessories";127;1,02362204724409;130
"185";"APP0694";0,68;68,4629268292683;"accessories";123;1,01626016260163;125
"186";"APP0695";0,529411764705882;67,7483333333333;"accessories";78;1,02564102564103;80
"187";"APP0696";0,464285714285714;65,6091489361702;"accessories";329;1,07294832826748;353
"188";"APP0697";0,291666666666667;66,4248275862069;"accessories";203;1,01970443349754;207
"189";"APP0712";1;41,1905882352941;"accessories";17;1,82352941176471;31
"190";"APP0729";4;30,0368316831683;"accessories";101;1,00990099009901;102
"191";"APP0863";0,25;526,362105263158;"tablet";19;2,73684210526316;52
"192";"APP0865";0,5;520,324444444444;"tablet";9;1,22222222222222;11
"193";"APP0874";0,333333333333333;635,575;"tablet";12;1,16666666666667;14
"194";"APP0893";0,526315789473684;515,082704081633;"pc";196;1,06122448979592;208
"195";"APP0894";0,56;732,672097902098;"pc";286;1,02797202797203;294
"196";"APP0895";1,5;1029,67101694915;"pc";59;1;59
"197";"APP0903";0,333333333333333;635,995161290323;"pc";62;1,09677419354839;68
"198";"APP0905";0,571428571428571;979,608985507246;"pc";69;1,05797101449275;73
"199";"APP0911";0,5;80,4454545454545;"accessories";11;1;11
"200";"APP0921";0,702222222222222;17,0389622641509;"accessories";1378;1,18069666182874;1627
"201";"APP0924";0,777777777777778;1489,82386666667;"pc";75;1,01333333333333;76
"202";"APP0927";0,375;1263,58473684211;"pc";76;1;76
"203";"APP0952";0,142857142857143;1351,472;"laptop";95;1;95
"204";"APP0953";0,333333333333333;1595,62333333333;"laptop";30;1,23333333333333;37
"205";"APP0979";7,7;16,7296283783784;"accessories";296;1,15202702702703;341
"206";"APP0989";0,176470588235294;2065,81694214876;"laptop";363;1,02754820936639;373
"207";"APP0997";0,222222222222222;2298,77394736842;"laptop";152;1,03289473684211;157
"208";"APP0999";0,2;2224,40052631579;"laptop";76;1;76
"209";"APP1000";1,33333333333333;2384,01330578512;"laptop";121;1,00826446280992;122
"210";"APP1001";0,5;2911,41225;"laptop";40;1,025;41
"211";"APP1003";0,857142857142857;2648,63965909091;"laptop";88;1;88
"212";"APP1004";1;3097,41973684211;"laptop";38;1;38
"213";"APP1008";1,125;39,7194871794872;"accessories";78;1,01282051282051;79
"214";"APP1014";1,1875;64,9681175647306;"extended warranty";1429;1,0146955913226;1450
"215";"APP1022";0,142857142857143;1608,84113636364;"pc";44;1;44
"216";"APP1023";0,25;1703,09818181818;"pc";55;1;55
"217";"APP1037";2,5;67,1084753363229;"accessories";223;1,16591928251121;260
"218";"APP1038";3,25;69,1950769230769;"accessories";65;1,06153846153846;69
"219";"APP1039";4,26666666666667;16,5002639296188;"accessories";341;1,17888563049853;402
"220";"APP1039-A";4;12,2466666666667;"accessories";12;1,08333333333333;13
"221";"APP1042";1,6;23,7358536585366;"accessories";41;1,09756097560976;45
"222";"APP1077";0,5;230,052173913043;"other";23;1,04347826086957;24
"223";"APP1080";0,1;223,395833333333;"other";60;1,03333333333333;62
"224";"APP1083";0,111111111111111;225,882173913043;"other";46;1,17391304347826;54
"225";"APP1086";1,5;221,494117647059;"other";34;1,05882352941176;36
"226";"APP1100";1;54,33;"other";3;1;3
"227";"APP1101";0,294117647058824;66,1834615384615;"accessories";78;1;78
"228";"APP1112";0,5;470,744523809524;"tablet";84;1,03571428571429;87
"229";"APP1113";0,166666666666667;469,758125;"tablet";64;1,234375;79
"230";"APP1114";0,571428571428571;470,10223880597;"tablet";67;1,01492537313433;68
"231";"APP1121";0,333333333333333;620,897540983607;"tablet";61;1,08196721311475;66
"232";"APP1122";1;616,400714285714;"tablet";14;1,07142857142857;15
"233";"APP1125";1;52,93;"accessories";13;1,07692307692308;14
"234";"APP1127";1,5;55,0031578947368;"accessories";19;1,05263157894737;20
"235";"APP1129";1,2;49,7213793103448;"accessories";58;1,01724137931034;59
"236";"APP1130";2;49,7837777777778;"accessories";45;1,02222222222222;46
"237";"APP1132";1;49,5573493975904;"accessories";83;1,02409638554217;85
"238";"APP1133";0,5625;35,4045098039216;"accessories";102;1,01960784313725;104
"239";"APP1134";0,9;35,7924742268041;"accessories";97;1,07216494845361;104
